data,miasto,sklep,kategoria,towar,cena,sztuk
2015-07-22,Łódź,Kaczmarski,wyposażenie szkolne,kreda,5.00,59
2016-12-07,Gdańsk,Skiba,wyposażenie szkolne,gąbka,4.00,354
2016-10-10,Poznań,Szewczyk,wyposażenie szkolne,gąbka,4.00,123
2017-03-26,Radom,Arendt,meble,biurko,149.99,4
2015-04-04,Warszawa,Malinowski,wyposażenie szkolne,kreda,5.00,382
2015-09-01,Białystok,Pietrasiuk,wyposażenie szkolne,tablica,590.00,1
2014-10-22,Białystok,Podsiadło,wyposażenie szkolne,tablica,590.00,1
2016-01-07,Gdańsk,Skiba,meble,krzesło obrotowe,69.00,32
2015-09-05,Katowice,Michalak,szkolno-biurowe,dziurkacz,7.50,144
2015-04-25,Radom,Czarnecki,meble,biurko,149.99,2
2015-01-28,Gdańsk,Skiba,szkolno-biurowe,flamaster,0.99,217
2016-06-06,Poznań,Romanowski,szkolno-biurowe,długopis,1.49,79
2016-11-23,Kraków,Wróbel,wyposażenie szkolne,gąbka,4.00,108
2016-07-16,Gdańsk,Skiba,wyposażenie szkolne,gąbka,4.00,14
2015-06-12,Kraków,Kozłowski,meble,biurko,149.99,11
2015-11-25,Poznań,Szewczyk,wyposażenie szkolne,tablica,590.00,1
2015-11-12,Białystok,Pietrasiuk,meble,biurko,149.99,2
2017-01-28,Radom,Zawadzki,szkolno-biurowe,dziurkacz,7.50,15
2016-11-06,Radom,Zawadzki,wyposażenie szkolne,gąbka,4.00,80
2016-12-20,Katowice,Michalak,wyposażenie szkolne,tablica,590.00,4
2016-12-14,Radom,Czarnecki,meble,biurko,149.99,2
2015-08-05,Katowice,Jankowski,szkolno-biurowe,flamaster,0.99,382
2017-04-12,Gdańsk,Krupa,wyposażenie szkolne,tablica,590.00,4
2016-08-01,Warszawa,Malinowski,meble,biurko,149.99,23
2015-04-20,Kraków,Dudek,szkolno-biurowe,długopis,1.49,175
2015-11-16,Katowice,Michalak,szkolno-biurowe,długopis,1.49,235
2016-12-14,Białystok,Podsiadło,wyposażenie szkolne,gąbka,4.00,24
2015-12-10,Kraków,Wróbel,szkolno-biurowe,długopis,1.49,120
2017-01-27,Kraków,Dudek,szkolno-biurowe,plastelina,2.99,26
2016-05-03,Białystok,Pietrasiuk,wyposażenie szkolne,gąbka,4.00,31
2015-11-22,Białystok,Podsiadło,wyposażenie szkolne,gąbka,4.00,54
2016-07-16,Łódź,Wdowiak,szkolno-biurowe,długopis,1.49,91
2015-02-04,Poznań,Romanowski,szkolno-biurowe,flamaster,0.99,102
2016-02-17,Warszawa,Malinowski,szkolno-biurowe,długopis,1.49,19
2016-01-06,Białystok,Podsiadło,wyposażenie szkolne,kreda,5.00,47
2015-08-18,Warszawa,Malinowski,wyposażenie szkolne,gąbka,4.00,357
2017-05-02,Katowice,Jankowski,meble,biurko,149.99,15
2015-11-04,Katowice,Gaińska,wyposażenie szkolne,gąbka,4.00,324
2015-12-12,Katowice,Jankowski,meble,biurko,149.99,1
2016-01-02,Warszawa,Malinowski,szkolno-biurowe,dziurkacz,7.50,29
2016-02-06,Łódź,Kaczmarek,meble,biurko,149.99,1
2015-10-10,Łódź,Wdowiak,meble,biurko,149.99,8
2016-12-16,Poznań,Szewczyk,szkolno-biurowe,flamaster,0.99,218
2015-06-14,Katowice,Gaińska,szkolno-biurowe,flamaster,0.99,292
2016-08-13,Kraków,Dudek,meble,biurko,149.99,10
2016-09-07,Białystok,Podsiadło,szkolno-biurowe,dziurkacz,7.50,28
2014-12-09,Łódź,Kaczmarski,wyposażenie szkolne,kreda,5.00,206
2017-05-03,Kraków,Sikorski,wyposażenie szkolne,gąbka,4.00,18
2016-01-06,Kraków,Sikorski,wyposażenie szkolne,gąbka,4.00,144
2016-03-29,Poznań,Borowik,meble,biurko,149.99,6
2016-08-06,Radom,Zawadzki,szkolno-biurowe,flamaster,0.99,105
2015-03-07,Radom,Grycuk,wyposażenie szkolne,kreda,5.00,48
2015-12-03,Białystok,Pietrasiuk,meble,krzesło obrotowe,69.00,8
2016-04-28,Kraków,Dudek,wyposażenie szkolne,kreda,5.00,84
2016-12-19,Katowice,Jankowski,wyposażenie szkolne,kreda,5.00,92
2015-03-25,Radom,Zawadzki,szkolno-biurowe,flamaster,0.99,25
2015-06-28,Gdańsk,Skiba,wyposażenie szkolne,gąbka,4.00,34
2016-02-07,Warszawa,Malinowski,wyposażenie szkolne,kreda,5.00,467
2017-04-21,Łódź,Kaczmarski,szkolno-biurowe,plastelina,2.99,145
2015-07-23,Gdańsk,Skiba,meble,krzesło obrotowe,69.00,31
2016-01-08,Gdańsk,Żurek,meble,krzesło obrotowe,69.00,14
2015-06-25,Warszawa,Stefaniak,meble,krzesło obrotowe,69.00,36
2016-12-03,Poznań,Romanowski,szkolno-biurowe,dziurkacz,7.50,5
2016-08-27,Warszawa,Stefaniak,szkolno-biurowe,plastelina,2.99,538
2016-05-14,Łódź,Kaczmarski,wyposażenie szkolne,kreda,5.00,106
2016-11-19,Radom,Grycuk,meble,biurko,149.99,6
2016-10-27,Kraków,Dudek,wyposażenie szkolne,tablica,590.00,2
2016-08-11,Białystok,Pietrasiuk,szkolno-biurowe,flamaster,0.99,80
2016-05-09,Białystok,Pietrasiuk,meble,biurko,149.99,1
2015-06-24,Łódź,Wdowiak,meble,krzesło obrotowe,69.00,11
2016-08-05,Białystok,Podsiadło,szkolno-biurowe,flamaster,0.99,36
2016-08-04,Katowice,Michalak,meble,krzesło obrotowe,69.00,11
2016-12-19,Poznań,Borowik,wyposażenie szkolne,kreda,5.00,260
2015-10-12,Radom,Czarnecki,wyposażenie szkolne,gąbka,4.00,110
2014-12-13,Łódź,Kaczmarek,wyposażenie szkolne,kreda,5.00,265
2015-10-16,Poznań,Borowik,meble,krzesło obrotowe,69.00,24
2016-04-02,Warszawa,Malinowski,szkolno-biurowe,długopis,1.49,327
2015-03-19,Poznań,Borowik,szkolno-biurowe,długopis,1.49,278
2017-03-30,Białystok,Pietrasiuk,szkolno-biurowe,flamaster,0.99,57
2016-10-08,Radom,Arendt,szkolno-biurowe,flamaster,0.99,34
2014-12-31,Łódź,Wdowiak,szkolno-biurowe,długopis,1.49,71
2015-01-30,Kraków,Wróbel,szkolno-biurowe,długopis,1.49,146
2016-11-25,Radom,Czarnecki,meble,krzesło obrotowe,69.00,4
2015-05-12,Łódź,Kaczmarek,szkolno-biurowe,długopis,1.49,113
2015-12-09,Warszawa,Stefaniak,wyposażenie szkolne,gąbka,4.00,152
2017-04-25,Łódź,Kaczmarek,meble,biurko,149.99,12
2016-05-02,Łódź,Kaczmarski,meble,biurko,149.99,7
2016-02-15,Kraków,Wróbel,szkolno-biurowe,długopis,1.49,85
2016-08-27,Łódź,Kaczmarski,wyposażenie szkolne,gąbka,4.00,179
2014-11-20,Łódź,Kaczmarski,meble,krzesło obrotowe,69.00,22
2017-01-22,Łódź,Kaczmarski,szkolno-biurowe,dziurkacz,7.50,100
2016-07-18,Łódź,Kaczmarek,szkolno-biurowe,długopis,1.49,53
2015-09-10,Kraków,Dudek,szkolno-biurowe,plastelina,2.99,276
2014-11-30,Poznań,Romanowski,meble,biurko,149.99,15
2015-09-06,Poznań,Szewczyk,szkolno-biurowe,długopis,1.49,126
2015-02-05,Warszawa,Stefaniak,wyposażenie szkolne,tablica,590.00,5
2016-12-09,Warszawa,Malinowski,wyposażenie szkolne,kreda,5.00,405
2015-06-21,Warszawa,Malinowski,meble,krzesło obrotowe,69.00,29
2016-05-16,Gdańsk,Skiba,wyposażenie szkolne,kreda,5.00,334
2017-04-22,Warszawa,Stefaniak,meble,biurko,149.99,16
2015-03-15,Radom,Arendt,szkolno-biurowe,długopis,1.49,4
2015-05-17,Warszawa,Malinowski,wyposażenie szkolne,gąbka,4.00,517
2016-11-29,Gdańsk,Skiba,szkolno-biurowe,długopis,1.49,111
2015-02-04,Kraków,Sikorski,meble,biurko,149.99,10
2016-04-25,Katowice,Jankowski,wyposażenie szkolne,gąbka,4.00,253
2014-12-11,Łódź,Kaczmarek,szkolno-biurowe,plastelina,2.99,159
2015-12-04,Radom,Zawadzki,wyposażenie szkolne,kreda,5.00,31
2016-01-26,Poznań,Szewczyk,wyposażenie szkolne,gąbka,4.00,103
2016-07-31,Warszawa,Stefaniak,meble,biurko,149.99,21
2015-07-23,Gdańsk,Socha,meble,biurko,149.99,10
2015-08-25,Radom,Arendt,wyposażenie szkolne,gąbka,4.00,166
2017-04-19,Białystok,Pietrasiuk,szkolno-biurowe,plastelina,2.99,54
2014-12-22,Katowice,Gaińska,szkolno-biurowe,dziurkacz,7.50,192
2016-05-12,Białystok,Podsiadło,szkolno-biurowe,długopis,1.49,51
2016-03-14,Katowice,Jankowski,wyposażenie szkolne,tablica,590.00,3
2015-11-01,Kraków,Kozłowski,szkolno-biurowe,dziurkacz,7.50,5
2014-12-15,Kraków,Kozłowski,szkolno-biurowe,plastelina,2.99,101
2015-10-28,Gdańsk,Skiba,szkolno-biurowe,flamaster,0.99,225
2015-10-14,Poznań,Borowik,meble,biurko,149.99,10
2017-01-09,Katowice,Jankowski,meble,krzesło obrotowe,69.00,8
2015-04-08,Poznań,Romanowski,wyposażenie szkolne,kreda,5.00,256
2017-01-04,Kraków,Dudek,meble,biurko,149.99,10
2017-02-25,Białystok,Podsiadło,wyposażenie szkolne,kreda,5.00,14
2015-01-07,Poznań,Borowik,wyposażenie szkolne,gąbka,4.00,76
2016-01-23,Łódź,Kaczmarski,meble,krzesło obrotowe,69.00,10
2015-10-01,Białystok,Podsiadło,szkolno-biurowe,flamaster,0.99,59
2016-08-14,Białystok,Podsiadło,wyposażenie szkolne,kreda,5.00,72
2016-10-29,Łódź,Wdowiak,szkolno-biurowe,długopis,1.49,147
2015-02-01,Warszawa,Stefaniak,meble,krzesło obrotowe,69.00,26
2015-11-07,Łódź,Wdowiak,meble,biurko,149.99,12
2016-07-30,Gdańsk,Skiba,szkolno-biurowe,flamaster,0.99,66
2016-12-07,Warszawa,Stefaniak,wyposażenie szkolne,gąbka,4.00,171
2016-03-11,Białystok,Pietrasiuk,meble,biurko,149.99,1
2017-04-10,Białystok,Podsiadło,wyposażenie szkolne,kreda,5.00,13
2016-03-15,Białystok,Pietrasiuk,szkolno-biurowe,flamaster,0.99,36
2015-09-07,Łódź,Kaczmarek,meble,krzesło obrotowe,69.00,9
2015-04-30,Radom,Arendt,szkolno-biurowe,długopis,1.49,110
2016-09-23,Katowice,Jankowski,meble,krzesło obrotowe,69.00,32
2016-09-26,Kraków,Wróbel,wyposażenie szkolne,kreda,5.00,10
2016-07-25,Poznań,Szewczyk,wyposażenie szkolne,tablica,590.00,2
2015-06-06,Gdańsk,Żurek,wyposażenie szkolne,kreda,5.00,249
2016-05-24,Gdańsk,Skiba,meble,krzesło obrotowe,69.00,11
2016-10-27,Białystok,Podsiadło,szkolno-biurowe,plastelina,2.99,71
2015-02-12,Warszawa,Malinowski,wyposażenie szkolne,gąbka,4.00,258
2017-04-14,Łódź,Wdowiak,szkolno-biurowe,plastelina,2.99,76
2015-06-20,Radom,Grycuk,wyposażenie szkolne,kreda,5.00,74
2015-12-27,Katowice,Jankowski,szkolno-biurowe,flamaster,0.99,119
2015-03-21,Warszawa,Stefaniak,wyposażenie szkolne,kreda,5.00,247
2015-12-24,Kraków,Kozłowski,szkolno-biurowe,długopis,1.49,182
2016-08-06,Radom,Grycuk,meble,krzesło obrotowe,69.00,3
2015-04-28,Białystok,Pietrasiuk,wyposażenie szkolne,tablica,590.00,1
2016-11-20,Radom,Arendt,szkolno-biurowe,długopis,1.49,40
2016-02-18,Warszawa,Malinowski,wyposażenie szkolne,tablica,590.00,2
2016-03-22,Gdańsk,Socha,wyposażenie szkolne,gąbka,4.00,266
2014-10-17,Poznań,Borowik,wyposażenie szkolne,kreda,5.00,85
2015-02-08,Warszawa,Stefaniak,wyposażenie szkolne,gąbka,4.00,451
2015-05-24,Gdańsk,Krupa,meble,biurko,149.99,5
2016-09-21,Warszawa,Stefaniak,szkolno-biurowe,plastelina,2.99,140
2016-12-27,Warszawa,Stefaniak,wyposażenie szkolne,kreda,5.00,333
2014-10-17,Łódź,Kaczmarski,szkolno-biurowe,plastelina,2.99,58
2017-04-30,Warszawa,Malinowski,meble,biurko,149.99,8
2016-10-20,Katowice,Jankowski,meble,krzesło obrotowe,69.00,39
2015-11-25,Katowice,Jankowski,szkolno-biurowe,długopis,1.49,84
2017-03-21,Łódź,Kaczmarski,szkolno-biurowe,dziurkacz,7.50,50
2016-06-19,Kraków,Kozłowski,szkolno-biurowe,dziurkacz,7.50,34
2015-05-27,Białystok,Pietrasiuk,szkolno-biurowe,długopis,1.49,36
2015-10-26,Warszawa,Stefaniak,szkolno-biurowe,długopis,1.49,125
2015-02-02,Radom,Czarnecki,meble,krzesło obrotowe,69.00,8
2015-09-30,Łódź,Wdowiak,wyposażenie szkolne,kreda,5.00,90
2016-03-08,Poznań,Borowik,szkolno-biurowe,długopis,1.49,254
2015-04-03,Białystok,Podsiadło,szkolno-biurowe,dziurkacz,7.50,42
2015-12-24,Białystok,Podsiadło,wyposażenie szkolne,kreda,5.00,27
2017-02-12,Poznań,Borowik,szkolno-biurowe,flamaster,0.99,125
2017-04-28,Kraków,Sikorski,szkolno-biurowe,długopis,1.49,29
2017-05-06,Radom,Arendt,wyposażenie szkolne,kreda,5.00,168
2017-04-23,Białystok,Podsiadło,szkolno-biurowe,długopis,1.49,3
2015-03-15,Gdańsk,Socha,meble,biurko,149.99,10
2016-09-10,Poznań,Borowik,wyposażenie szkolne,gąbka,4.00,11
2014-12-07,Radom,Arendt,meble,krzesło obrotowe,69.00,4
2016-09-08,Radom,Grycuk,wyposażenie szkolne,gąbka,4.00,45
2016-12-11,Białystok,Pietrasiuk,meble,krzesło obrotowe,69.00,5
2015-03-04,Kraków,Sikorski,szkolno-biurowe,flamaster,0.99,165
2016-08-09,Łódź,Wdowiak,meble,biurko,149.99,8
2015-09-04,Białystok,Podsiadło,meble,krzesło obrotowe,69.00,6
2016-10-16,Poznań,Romanowski,szkolno-biurowe,długopis,1.49,232
2016-05-18,Łódź,Wdowiak,szkolno-biurowe,długopis,1.49,131
2017-02-15,Radom,Arendt,wyposażenie szkolne,tablica,590.00,1
2014-11-22,Kraków,Wróbel,meble,krzesło obrotowe,69.00,24
2015-08-31,Warszawa,Malinowski,wyposażenie szkolne,tablica,590.00,2
2016-11-06,Poznań,Romanowski,meble,krzesło obrotowe,69.00,16
2016-11-14,Radom,Arendt,meble,krzesło obrotowe,69.00,5
2016-03-14,Warszawa,Malinowski,wyposażenie szkolne,tablica,590.00,2
2015-02-24,Kraków,Dudek,meble,krzesło obrotowe,69.00,8
2016-06-19,Katowice,Jankowski,wyposażenie szkolne,gąbka,4.00,412
2015-04-01,Poznań,Borowik,wyposażenie szkolne,kreda,5.00,66
2015-06-06,Gdańsk,Żurek,meble,biurko,149.99,10
2016-08-12,Gdańsk,Skiba,wyposażenie szkolne,kreda,5.00,271
2015-04-18,Kraków,Dudek,szkolno-biurowe,długopis,1.49,126
2016-10-12,Gdańsk,Skiba,szkolno-biurowe,flamaster,0.99,287
2015-04-09,Radom,Zawadzki,meble,biurko,149.99,4
2015-02-23,Łódź,Kaczmarek,szkolno-biurowe,długopis,1.49,206
2015-07-18,Kraków,Wróbel,meble,biurko,149.99,12
2016-05-13,Radom,Grycuk,szkolno-biurowe,długopis,1.49,7
2016-04-22,Warszawa,Stefaniak,meble,krzesło obrotowe,69.00,2
2015-05-30,Warszawa,Stefaniak,wyposażenie szkolne,tablica,590.00,4
2016-02-25,Radom,Grycuk,szkolno-biurowe,dziurkacz,7.50,81
2016-09-30,Łódź,Kaczmarek,szkolno-biurowe,flamaster,0.99,122
2016-04-15,Łódź,Kaczmarski,wyposażenie szkolne,gąbka,4.00,82
2015-11-26,Poznań,Borowik,wyposażenie szkolne,kreda,5.00,162
2017-03-13,Łódź,Kaczmarek,szkolno-biurowe,długopis,1.49,29
2015-10-07,Białystok,Podsiadło,meble,biurko,149.99,2
2016-03-04,Warszawa,Malinowski,szkolno-biurowe,plastelina,2.99,415
2015-02-01,Poznań,Szewczyk,meble,biurko,149.99,11
2016-11-23,Łódź,Kaczmarski,szkolno-biurowe,dziurkacz,7.50,50
2016-05-02,Kraków,Sikorski,wyposażenie szkolne,tablica,590.00,3
2016-11-15,Warszawa,Malinowski,szkolno-biurowe,długopis,1.49,218
2015-03-19,Poznań,Szewczyk,wyposażenie szkolne,tablica,590.00,2
2014-11-23,Poznań,Szewczyk,wyposażenie szkolne,gąbka,4.00,134
2015-06-03,Warszawa,Malinowski,meble,biurko,149.99,24
2015-07-28,Białystok,Podsiadło,meble,biurko,149.99,1
2017-01-15,Katowice,Michalak,szkolno-biurowe,dziurkacz,7.50,20
2016-10-09,Kraków,Kozłowski,szkolno-biurowe,flamaster,0.99,141
2016-03-24,Radom,Zawadzki,meble,biurko,149.99,4
2016-03-03,Kraków,Sikorski,meble,krzesło obrotowe,69.00,6
2014-11-16,Gdańsk,Krupa,szkolno-biurowe,długopis,1.49,33
2017-04-25,Łódź,Kaczmarski,szkolno-biurowe,plastelina,2.99,173
2015-11-30,Radom,Arendt,wyposażenie szkolne,kreda,5.00,65
2016-09-24,Białystok,Podsiadło,szkolno-biurowe,długopis,1.49,11
2016-02-09,Katowice,Jankowski,meble,biurko,149.99,15
2015-11-27,Białystok,Pietrasiuk,meble,krzesło obrotowe,69.00,2
2016-01-03,Kraków,Kozłowski,meble,biurko,149.99,2
2014-10-17,Białystok,Podsiadło,wyposażenie szkolne,kreda,5.00,90
2015-10-26,Warszawa,Stefaniak,meble,krzesło obrotowe,69.00,2
2015-10-21,Białystok,Podsiadło,meble,biurko,149.99,1
2015-09-17,Katowice,Jankowski,meble,biurko,149.99,7
2015-11-25,Warszawa,Malinowski,szkolno-biurowe,dziurkacz,7.50,194
2016-10-18,Katowice,Gaińska,szkolno-biurowe,długopis,1.49,49
2015-07-16,Gdańsk,Skiba,szkolno-biurowe,flamaster,0.99,47
2014-11-22,Katowice,Jankowski,meble,biurko,149.99,17
2016-05-03,Kraków,Wróbel,meble,biurko,149.99,7
2014-11-08,Poznań,Szewczyk,meble,krzesło obrotowe,69.00,4
2015-08-10,Warszawa,Stefaniak,wyposażenie szkolne,gąbka,4.00,231
2017-03-04,Łódź,Kaczmarek,szkolno-biurowe,plastelina,2.99,87
2015-08-21,Kraków,Sikorski,szkolno-biurowe,długopis,1.49,106
2015-01-19,Łódź,Kaczmarek,wyposażenie szkolne,kreda,5.00,117
2016-05-19,Białystok,Pietrasiuk,szkolno-biurowe,plastelina,2.99,92
2015-12-19,Kraków,Wróbel,meble,krzesło obrotowe,69.00,24
2015-06-28,Warszawa,Malinowski,szkolno-biurowe,flamaster,0.99,107
2015-09-01,Poznań,Borowik,wyposażenie szkolne,tablica,590.00,3
2015-08-12,Poznań,Romanowski,meble,krzesło obrotowe,69.00,8
2016-04-03,Warszawa,Stefaniak,wyposażenie szkolne,gąbka,4.00,174
2016-06-06,Gdańsk,Skiba,meble,biurko,149.99,12
2016-05-01,Łódź,Kaczmarski,meble,biurko,149.99,3
2015-04-21,Kraków,Kozłowski,meble,biurko,149.99,2
2016-08-16,Kraków,Wróbel,meble,biurko,149.99,7
2014-10-27,Kraków,Wróbel,wyposażenie szkolne,kreda,5.00,213
2016-12-16,Katowice,Michalak,meble,krzesło obrotowe,69.00,40
2014-11-11,Gdańsk,Skiba,meble,biurko,149.99,9
2017-01-02,Warszawa,Malinowski,szkolno-biurowe,dziurkacz,7.50,145
2017-04-07,Radom,Grycuk,szkolno-biurowe,dziurkacz,7.50,56
2017-02-03,Białystok,Pietrasiuk,meble,biurko,149.99,2
2016-09-24,Poznań,Romanowski,meble,biurko,149.99,12
2015-11-26,Warszawa,Malinowski,wyposażenie szkolne,tablica,590.00,2
2016-06-22,Łódź,Kaczmarski,wyposażenie szkolne,gąbka,4.00,202
2014-12-03,Katowice,Jankowski,wyposażenie szkolne,gąbka,4.00,179
2015-11-18,Kraków,Wróbel,szkolno-biurowe,dziurkacz,7.50,70
2015-10-12,Radom,Czarnecki,wyposażenie szkolne,gąbka,4.00,49
2017-03-31,Kraków,Wróbel,wyposażenie szkolne,gąbka,4.00,38
2015-01-17,Warszawa,Stefaniak,szkolno-biurowe,plastelina,2.99,567
2015-07-01,Gdańsk,Skiba,wyposażenie szkolne,gąbka,4.00,165
2015-06-07,Poznań,Borowik,meble,biurko,149.99,7
2017-01-12,Białystok,Pietrasiuk,szkolno-biurowe,flamaster,0.99,58
2016-03-30,Katowice,Gaińska,szkolno-biurowe,długopis,1.49,182
2017-02-13,Warszawa,Malinowski,wyposażenie szkolne,kreda,5.00,280
2016-11-01,Gdańsk,Socha,wyposażenie szkolne,kreda,5.00,191
2017-02-06,Poznań,Romanowski,szkolno-biurowe,plastelina,2.99,7
2015-01-15,Radom,Arendt,szkolno-biurowe,plastelina,2.99,133
2015-11-24,Poznań,Borowik,wyposażenie szkolne,gąbka,4.00,190
2015-06-14,Warszawa,Malinowski,szkolno-biurowe,dziurkacz,7.50,283
2015-02-17,Łódź,Kaczmarek,wyposażenie szkolne,tablica,590.00,3
2015-07-12,Katowice,Michalak,szkolno-biurowe,plastelina,2.99,19
2016-09-05,Katowice,Jankowski,szkolno-biurowe,długopis,1.49,198
2017-03-30,Łódź,Wdowiak,wyposażenie szkolne,gąbka,4.00,192
2014-11-20,Radom,Zawadzki,szkolno-biurowe,plastelina,2.99,134
2015-10-07,Poznań,Szewczyk,meble,biurko,149.99,1
2017-04-15,Poznań,Romanowski,szkolno-biurowe,flamaster,0.99,74
2016-11-21,Poznań,Romanowski,szkolno-biurowe,plastelina,2.99,49
2015-11-24,Poznań,Romanowski,meble,biurko,149.99,13
2016-12-07,Katowice,Jankowski,meble,krzesło obrotowe,69.00,24
2016-08-13,Poznań,Szewczyk,szkolno-biurowe,plastelina,2.99,301
2017-03-25,Łódź,Wdowiak,szkolno-biurowe,dziurkacz,7.50,44
2016-03-26,Białystok,Podsiadło,meble,biurko,149.99,1
2017-03-17,Gdańsk,Skiba,wyposażenie szkolne,tablica,590.00,2
2016-05-14,Katowice,Michalak,meble,krzesło obrotowe,69.00,27
2015-02-06,Kraków,Sikorski,wyposażenie szkolne,gąbka,4.00,41
2016-06-29,Warszawa,Malinowski,meble,krzesło obrotowe,69.00,48
2015-02-26,Łódź,Kaczmarski,meble,biurko,149.99,8
2016-11-16,Kraków,Sikorski,meble,biurko,149.99,11
2016-04-23,Białystok,Podsiadło,szkolno-biurowe,flamaster,0.99,8
2016-09-09,Radom,Zawadzki,meble,krzesło obrotowe,69.00,14
2014-12-19,Warszawa,Malinowski,meble,biurko,149.99,7
2016-06-06,Białystok,Pietrasiuk,szkolno-biurowe,długopis,1.49,20
2016-07-12,Warszawa,Malinowski,meble,biurko,149.99,22
2015-10-29,Warszawa,Stefaniak,szkolno-biurowe,flamaster,0.99,455
2016-11-01,Katowice,Jankowski,szkolno-biurowe,dziurkacz,7.50,89
2016-05-25,Łódź,Kaczmarski,wyposażenie szkolne,kreda,5.00,239
2015-07-02,Poznań,Szewczyk,meble,biurko,149.99,11
2016-10-11,Poznań,Szewczyk,wyposażenie szkolne,tablica,590.00,2
2016-10-27,Łódź,Wdowiak,szkolno-biurowe,flamaster,0.99,126
2017-02-20,Warszawa,Stefaniak,meble,biurko,149.99,21
2017-05-01,Poznań,Szewczyk,meble,krzesło obrotowe,69.00,11
2016-09-14,Warszawa,Stefaniak,szkolno-biurowe,długopis,1.49,168
2015-03-31,Gdańsk,Krupa,szkolno-biurowe,dziurkacz,7.50,79
2017-02-28,Katowice,Gaińska,meble,krzesło obrotowe,69.00,14
2017-04-14,Gdańsk,Krupa,meble,biurko,149.99,12
2015-03-26,Warszawa,Malinowski,wyposażenie szkolne,tablica,590.00,3
2016-01-28,Poznań,Szewczyk,wyposażenie szkolne,tablica,590.00,1
2017-01-30,Łódź,Kaczmarski,szkolno-biurowe,flamaster,0.99,12
2017-01-21,Kraków,Wróbel,meble,biurko,149.99,8
2015-02-02,Łódź,Wdowiak,wyposażenie szkolne,gąbka,4.00,125
2015-10-16,Poznań,Szewczyk,meble,krzesło obrotowe,69.00,8
2015-07-07,Warszawa,Malinowski,wyposażenie szkolne,kreda,5.00,344
2016-01-28,Warszawa,Stefaniak,meble,biurko,149.99,19
2015-02-24,Białystok,Podsiadło,wyposażenie szkolne,kreda,5.00,11
2016-02-02,Radom,Grycuk,meble,biurko,149.99,4
2017-03-01,Łódź,Kaczmarski,meble,krzesło obrotowe,69.00,18
2014-12-06,Kraków,Dudek,szkolno-biurowe,dziurkacz,7.50,52
2016-02-12,Łódź,Kaczmarek,szkolno-biurowe,długopis,1.49,8
2014-10-30,Katowice,Gaińska,wyposażenie szkolne,gąbka,4.00,31
2016-10-20,Katowice,Jankowski,szkolno-biurowe,dziurkacz,7.50,223
2015-06-01,Białystok,Pietrasiuk,meble,krzesło obrotowe,69.00,7
2015-03-26,Białystok,Pietrasiuk,szkolno-biurowe,dziurkacz,7.50,7
2016-03-01,Poznań,Borowik,szkolno-biurowe,dziurkacz,7.50,163
2015-03-07,Poznań,Romanowski,wyposażenie szkolne,gąbka,4.00,148
2017-04-07,Gdańsk,Żurek,meble,biurko,149.99,10
2014-10-23,Poznań,Romanowski,szkolno-biurowe,plastelina,2.99,207
2016-04-25,Poznań,Romanowski,meble,biurko,149.99,15
2017-01-27,Radom,Grycuk,meble,krzesło obrotowe,69.00,16
2016-06-01,Białystok,Pietrasiuk,meble,krzesło obrotowe,69.00,2
2016-08-22,Białystok,Pietrasiuk,wyposażenie szkolne,gąbka,4.00,56
2017-04-25,Katowice,Gaińska,meble,biurko,149.99,10
2016-05-29,Katowice,Jankowski,szkolno-biurowe,plastelina,2.99,226
2015-09-18,Warszawa,Malinowski,wyposażenie szkolne,gąbka,4.00,220
2015-02-23,Radom,Grycuk,szkolno-biurowe,plastelina,2.99,65
2015-09-25,Katowice,Gaińska,meble,krzesło obrotowe,69.00,14
2016-09-02,Warszawa,Malinowski,meble,krzesło obrotowe,69.00,10
2015-12-17,Radom,Zawadzki,wyposażenie szkolne,kreda,5.00,41
2017-04-05,Gdańsk,Żurek,wyposażenie szkolne,kreda,5.00,288
2015-08-24,Gdańsk,Żurek,wyposażenie szkolne,tablica,590.00,2
2016-08-23,Białystok,Pietrasiuk,szkolno-biurowe,plastelina,2.99,32
2017-01-22,Łódź,Wdowiak,meble,biurko,149.99,4
2017-05-03,Katowice,Jankowski,szkolno-biurowe,flamaster,0.99,11
2015-12-12,Kraków,Sikorski,szkolno-biurowe,flamaster,0.99,117
2015-05-05,Białystok,Podsiadło,szkolno-biurowe,plastelina,2.99,75
2017-03-22,Łódź,Kaczmarek,meble,biurko,149.99,3
2015-03-19,Kraków,Wróbel,szkolno-biurowe,plastelina,2.99,32
2017-02-28,Radom,Czarnecki,wyposażenie szkolne,gąbka,4.00,149
2015-09-20,Białystok,Pietrasiuk,szkolno-biurowe,plastelina,2.99,64
2016-05-13,Warszawa,Malinowski,meble,krzesło obrotowe,69.00,8
2014-10-18,Poznań,Szewczyk,meble,biurko,149.99,4
2016-03-19,Poznań,Szewczyk,wyposażenie szkolne,gąbka,4.00,218
2016-03-18,Warszawa,Malinowski,meble,krzesło obrotowe,69.00,13
2015-07-06,Gdańsk,Skiba,meble,krzesło obrotowe,69.00,29
2015-07-07,Katowice,Gaińska,szkolno-biurowe,plastelina,2.99,474
2014-12-10,Białystok,Podsiadło,meble,biurko,149.99,4
2015-04-17,Gdańsk,Żurek,meble,biurko,149.99,5
2017-04-24,Radom,Zawadzki,meble,krzesło obrotowe,69.00,4
